0x0000,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002a,0x002b,0x002c,0x002d,0x002e,0x002f,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003a,0x003b,0x003c,0x003d,0x003e,0x003f,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004a,0x004b,0x004c,0x004d,0x004e,0x004f,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005a,0x005b,0x005c,0x005d,0x005e,0x005f,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006a,0x006b,0x006c,0x006d,0x006e,0x006f,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007a,0x007b,0x007c,0x007d,0x007e
0x002b,31.4686,102.4808,2.7059,6.2771,1.7328,2.5950,3652.3708,22.7371,25.9718,9.0102,0.0000,7.3893,5.4069,5.3721,2.8301,10.7116,30.3563,22.5797,10.5367,2.4033,12.4670,8.2005,20.0919,6.4735,5.9823,4.4209,6.7957,27.5943,33.6262,25.0403,9.7924,134.0952,14.5332,16.2659,6.6720,5.4125,11.0824,19.6668,3.8546,10.7001,17.8430,17.7685,10.9254,31.3536,14.6141,17.6826,1.4863,14.3942,1.7501,6.2906,12.2931,4.2389,3.9776,18.7252,4.7399,9.7697,10.2211,23.3730,5.8803,4.2041,25.7512,5.5703,4.7950,6.0920,16.3780,13.7371,15.6194,13.2336,13.5387,12.1149,8.8933,31.0946,42.5568,13.2102,9.7927,40.9172,6.1635,18.9540,10.8502,20.5783,15.1258,80.3364,24.1703,25.7839,32.2910,29.9261,4.6037,24.5241,13.7310,62.9231,23.7065,8.8705,19.0130,7.3031
0x002c,4.2987,1.9516,6.1251,9.5827,16.5819,2.7439,0.0571,5.6723,6.3926,0.8737,7.3893,0.0000,20.2733,13.2207,4961.8872,1.7652,2.3222,2.3612,6.6453,5.0005,4.0686,4.9671,1.7819,2.5904,8.3876,197.7606,601.4315,3460.2151,899.8288,4854.3560,3089.5356,14996.4404,1.4417,6.5287,3.0428,1.2258,2.6330,7.3194,1.4441,4.3343,8.1495,4.0312,3.0422,1.3470,2.3341,2.8516,1.0356,16.6390,1.9355,5.6513,5.8563,8.5262,1.7537,0.9232,3.4966,1.3350,0.9053,4.0889,2664.2432,5931.2451,1264.4016,256.5699,128.4989,1.2201,7.2042,5.1257,4.0867,2.2735,2.6945,8.2129,7.3765,3.1637,7.2333,5.8980,6.2184,5.5364,4.3743,3.6291,2.8721,7.2848,2.3938,13.0935,5.5196,5.6931,2.0425,1.4007,2.4831,6.2224,0.6669,3.3230,3761.7585,2114.3062,5715.4795,104.6403
0x002d,17.8891,3.1281,15.2241,12.5770,4.6218,3.5430,20.3069,6.3910,5.5322,3.6881,5.4069,20.2733,0.0000,0.1603,6336.3862,12.1649,1.1442,3.9359,5.3030,6.3646,12.3812,2.6160,0.8283,4.5428,9.1339,70.4282,303.1411,5045.6543,1313.0911,2956.9817,2881.6743,11660.5000,5.7625,4.6189,2.8147,1.4728,2.8252,5.9009,2.8598,11.5252,10.3912,2.5984,2.5896,0.9553,2.1368,8.4888,2.8257,1.6883,8.4516,5.9400,8.5269,1.4500,2.1029,2.4617,5.2632,6.5457,2.7397,0.7444,675.4266,8066.1538,2565.8865,390.7851,3.1555,1.5767,4.4695,13.1177,1.4166,17.3006,11.9823,9.9829,3.2692,17.0371,31.2158,17.5731,5.9310,3.5074,20.2206,6.2025,4.9236,2.7342,11.7236,2.1914,4.7524,2.6547,2.7993,7.5354,4.8658,1.8830,3.8214,3.1633,4632.7490,483.9256,6160.6694,34.6321
0x002e,2.4206,2.0464,3.4401,4.7194,12.6475,2.7952,6.3580,1.5161,1.0846,11.1307,5.3721,13.2207,0.1603,0.0000,17076.0273,2.0060,3.3965,3.6479,3.8267,1.7096,3.7702,3.8463,4.8969,5.6815,1.8861,42.7965,610.4956,21748.1191,6759.8867,21842.4980,10931.8184,80406.9609,4.0452,1.9244,2.2457,1.4904,2.2434,1.6915,1.0471,2.5824,0.2768,2.2423,5.8960,1.0489,10.4167,1.9010,1.6863,5.4471,1.1716,3.3027,2.5021,1.5081,5.7653,1.8880,3.6919,5.3309,2.6715,2.3790,3824.0654,16025.0049,4924.5654,2548.2993,129.4872,6.5349,6.3218,4.6178,2.6430,2.7685,3.3287,1.9464,2.1290,4.7854,1.3889,3.9134,1.9061,0.9825,2.2290,6.6908,4.4783,1.9566,0.8961,1.0538,4.4025,5.4984,6.2310,1.6076,3.1163,4.2841,2.0575,4.2307,12128.1514,460.5860,16053.2959,280.4625
0x002f,0.1356,111.0285,0.8504,1.2458,1.8819,2.8562,4797.9092,1.1154,0.8779,40.9316,2.8301,4961.8872,6336.3862,17076.0273,0.0000,1.6276,0.6296,1.6303,1.6132,1.6729,2.2301,2.4640,5.9554,1.1832,2.3718,0.9792,0.4493,33.5869,50.0010,39.1055,5.0629,82.4175,3.0103,2.4630,1.3468,0.9953,1.0768,3.4802,1.4675,0.7982,0.1872,0.0358,1.7453,6.4660,2.7182,2.8902,0.7086,3.7377,1.1470,2.0352,1.5996,3.8981,2.3864,1.8817,2.4190,5.2906,1.3873,2.8384,0.3188,0.3104,0.6816,40.2381,11.4330,1.0915,3.1716,2.2807,8.7811,1.5982,7.0610,0.1671,0.9130,2.6459,0.0259,0.0585,1.3810,0.0776,2.5213,5.8771,6.8997,1.3594,3.4268,5.5291,16.2390,6.2021,6.4414,16.8126,9.4905,6.6994,4.1661,7.1161,9.2034,0.1861,10.7542,103.7610
0x0030,5.8996,2.2449,2.8209,3.5082,17.2901,4.1384,1.5449,7.2684,6.3679,1.0435,10.7116,1.7652,12.1649,2.0060,1.6276,0.0000,6.2732,3.4957,0.8777,3.3057,1.4990,0.1578,2.9062,0.6476,0.7898,3.4930,3.7555,5.3615,4.9390,3.4878,2.0510,8.3495,5.4367,0.3537,1.2106,0.4604,1.9876,3.0140,4.8398,3.9271,2.6714,5.8662,9.2391,5.6146,5.7469,2.2135,0.0775,1.9523,0.3448,3.7598,2.8622,11.4278,1.1903,6.7420,15.1482,11.7896,10.2672,8.1052,7.1597,2.5474,7.7161,4.6290,1.3374,11.6853,0.4253,2.6999,0.9913,2.3275,0.2196,1.4717,1.9679,5.0219,3.8658,9.0693,6.5111,4.1056,8.9164,0.3368,0.0492,14.6827,2.5592,3.7944,0.9577,3.7713,0.8352,5.1150,2.0790,8.3655,6.7554,2.1558,13.6747,6.9159,16.1763,2.9842
0x0031,1.8087,2.2167,33.8183,9.4172,39.4804,14.5617,4.1768,3.5354,0.8325,3.5458,30.3563,2.3222,1.1442,3.3965,0.6296,6.2732,0.0000,0.3514,6.6285,6.5474,5.6332,5.6800,11.0583,5.5813,10.9950,2.1502,1.1577,6.5120,6.1149,2.9307,3.2913,57.8712,14.6024,6.2959,5.7205,9.2905,7.1406,12.7874,14.2288,27.9431,0.7330,1.0262,17.5767,1.3388,33.2580,14.1743,7.8941,10.2763,22.9741,8.9576,6.1387,11.4828,12.4959,30.1378,87.6928,7.0283,25.2843,1.2505,1.6638,0.4390,1.8487,16.1188,1.9691,4.8803,3.8801,15.7919,2.3966,7.3474,2.5701,5.8066,6.5502,20.5056,1.0631,0.6119,17.1673,1.0620,18.3692,5.1545,2.6861,19.6532,6.8011,13.3276,5.2692,11.2175,5.0637,27.3352,30.9035,6.6241,17.9634,0.2424,16.0995,3.0081,0.7822,7.1223
0x0032,2.1064,2.4488,4.7276,4.6236,8.9790,7.6115,7.8301,1.9945,3.6540,0.9138,22.5797,2.3612,3.9359,3.6479,1.6303,3.4957,0.3514,0.0000,0.7202,13.6498,2.8924,4.0669,2.0602,1.3820,1.1726,1.1537,1.4358,2.5897,2.5470,8.2072,0.5717,19.1769,2.8144,2.1118,2.1711,4.1233,2.2889,1.4668,8.3187,4.1049,1.0221,2.8619,5.1797,1.6674,5.2243,4.9730,4.0252,3.7063,3.7170,1.5454,1.9698,13.2809,5.6768,7.0221,21.1586,1.8820,2.7942,0.3752,4.9869,1.6169,2.9642,9.5221,0.9856,7.1688,0.8356,4.8004,0.3806,2.9983,0.8012,3.9889,2.1050,2.4392,1.8026,1.3819,1.0999,0.8690,13.4705,1.1009,1.1805,2.6794,1.7358,1.5620,0.7401,1.6377,3.2569,2.3353,4.3242,0.5456,2.5466,0.2038,10.7548,4.3831,3.8946,3.8217
0x0033,2.6225,1.4443,4.9263,2.8184,8.3696,5.2326,5.7341,5.3813,2.8878,1.5234,10.5367,6.6453,5.3030,3.8267,1.6132,0.8777,6.6285,0.7202,0.0000,7.7323,0.4606,1.0611,3.0117,0.9381,0.3943,1.2277,1.4336,9.8283,5.8132,3.0583,0.9710,15.8224,5.4209,0.2760,3.5844,2.1114,1.4879,3.0160,0.9540,6.1600,2.5458,3.0882,11.2864,3.3615,7.5986,4.7990,2.7456,3.6279,5.4975,1.0020,0.2871,7.7871,5.3092,5.7355,12.8595,4.4354,2.2662,2.1083,6.9864,1.7534,2.9093,10.8824,1.6138,3.1224,0.8437,2.8853,1.7283,8.2816,4.3384,4.2168,2.4011,3.8599,1.5582,4.8252,3.7646,2.1850,11.1936,2.1433,1.4341,2.6197,5.6558,1.9161,0.3175,4.2623,2.4519,3.6178,4.7077,2.4886,0.6949,1.4036,14.1879,4.4819,3.2260,19.5618
0x0034,4.2220,4.0435,8.6851,5.6157,73.3316,13.2617,3.3122,2.2527,2.8206,2.4851,2.4033,5.0005,6.3646,1.7096,1.6729,3.3057,6.5474,13.6498,7.7323,0.0000,16.4969,12.3254,20.9710,13.9840,20.8420,6.2394,2.8438,4.7744,15.2037,12.9985,10.1160,41.5189,5.1611,32.8149,10.3929,20.4967,20.6006,12.9804,22.5896,24.4006,2.8409,2.9177,46.2229,3.8563,49.0265,25.3656,20.1810,33.2180,27.3986,27.1047,12.2301,27.6693,16.3214,27.1585,70.1230,41.5227,32.5439,58.1867,7.5184,4.2396,4.1305,3.3972,2.0595,4.9390,5.4440,13.1079,2.8837,2.7760,3.9070,10.5084,11.5512,17.1527,2.6023,2.5859,27.4628,2.8364,21.7539,12.5813,6.2167,28.6060,5.5360,4.6582,3.9766,13.0906,12.3375,10.5848,25.3249,14.2197,29.9060,13.8837,10.5429,5.4569,7.8048,4.0438
