0x0000,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002a,0x002b,0x002c,0x002d,0x002e,0x002f,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003a,0x003b,0x003c,0x003d,0x003e,0x003f,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004a,0x004b,0x004c,0x004d,0x004e,0x004f,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005a,0x005b,0x005c,0x005d,0x005e,0x005f,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006a,0x006b,0x006c,0x006d,0x006e,0x006f,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007a,0x007b,0x007c,0x007d,0x007e
0x280a,14.1947,25.4536,529.9550,236.6319,1537.2384,342.8975,4.7606,123.9321,155.7202,27.1315,180.9371,5.6485,5.8094,0.5322,70.5639,88.0679,192.6336,298.5737,290.8922,195.7345,126.4727,142.1528,177.2025,180.8922,137.2960,4.3339,49.0010,138.7887,29.6008,77.9946,144.1662,518.9173,312.2128,398.6755,850.6433,242.2568,208.3996,68.6701,271.5581,264.0814,14.2883,197.4620,849.3574,366.3164,812.5668,166.5557,443.2994,96.6354,478.1264,319.0736,130.6469,293.3794,358.7152,401.3435,1233.5092,658.4156,406.0896,699.6356,386.3057,518.6325,260.1388,35.4185,38.3817,3.0935,56.8798,286.7895,140.9369,160.2570,75.1724,58.6060,237.5320,161.3284,14.1129,189.5618,243.2539,17.2132,333.8496,57.4814,67.4706,190.7758,305.2466,7.4513,29.4064,143.1570,81.9985,67.0028,575.9485,122.1073,288.1503,263.5496,426.8852,47.8846,356.8307,51.0063
0x280b,36.2800,16.3289,536.5497,109.7650,1118.5419,167.7459,11.4951,82.2116,151.9734,14.6832,30.8756,16.4919,7.1165,4.2281,87.4459,90.7489,101.6765,139.8647,84.0361,118.1750,64.3035,208.4953,22.8501,158.2627,52.0318,17.6507,31.6591,124.6833,12.6510,14.1143,29.8284,478.8761,317.5983,152.6557,487.1149,161.6895,114.1560,98.2990,149.0766,220.5819,47.1650,105.5675,303.0469,106.1008,574.6168,233.0037,317.2948,17.1127,293.7393,240.2548,40.9136,30.5574,209.9546,42.9489,782.6346,238.4762,45.5791,316.9077,133.9331,83.4954,143.1251,30.7357,5.7929,5.2376,54.1645,77.1801,140.3556,111.6904,47.5453,25.8494,88.2057,85.0720,39.2182,114.8202,174.8516,30.4241,156.5454,48.4161,76.2942,84.3276,118.4542,16.3460,15.9218,79.2952,32.1632,4.8049,241.6080,69.3381,53.8308,75.8882,261.5493,127.1310,150.8047,45.5935
0x280c,2.9778,5.2851,127.9161,54.1423,336.0327,120.7592,2.3598,36.6792,32.1471,18.4664,81.0212,1.7245,0.5185,0.1600,4.3803,35.1496,76.6894,32.9602,30.6083,101.2902,39.3588,27.3353,60.4665,23.6265,33.8356,0.1170,0.4570,59.8242,40.3285,31.0197,17.7961,157.5080,186.9251,33.6013,63.8601,49.4770,46.1443,32.1924,45.4397,51.3768,2.1690,9.1237,124.0671,146.0995,79.4872,29.7482,38.3435,61.6983,65.1354,35.6583,13.9288,176.4965,48.4013,153.6946,345.0064,61.6673,139.2803,45.1359,21.6349,33.0541,29.1219,69.1045,3.5212,0.6112,20.0241,69.1628,13.7327,57.4958,19.3434,13.7329,33.0714,42.5639,2.5373,8.4200,132.6119,2.9830,108.9964,22.7875,22.5808,42.7473,87.2275,1.1611,14.2026,11.9172,16.9748,67.2337,151.1223,45.2311,90.0238,9.1527,73.1471,15.1459,66.3518,7.2519
0x280d,6.2930,11.2435,50.2621,25.4097,141.7711,50.0210,1.2792,35.4249,6.5643,12.0672,9.8604,1.1363,3.6227,2.8557,12.1940,13.9099,55.6785,13.5073,9.7559,108.0888,25.5175,36.2885,2.9808,54.9993,7.9997,23.7658,8.1078,18.7973,9.7099,7.6834,1.5460,112.1031,49.9104,12.6791,85.9642,24.5699,32.8510,3.7926,30.7370,28.2447,5.8232,11.7472,62.1766,17.0254,94.5405,74.3936,35.3357,2.3132,54.1059,47.8869,23.2470,15.2762,32.0430,14.5850,58.1389,97.2296,3.4931,46.0074,63.1182,7.1032,19.2154,13.0666,2.8375,2.7499,11.7768,17.0141,18.9013,56.9403,27.6328,7.8175,10.4498,38.8124,4.6211,12.6910,15.6101,10.5668,36.0347,19.4200,8.7087,17.0135,24.7277,2.2583,6.8400,14.7915,7.2975,2.5613,40.3851,18.5432,2.6178,19.4946,83.0009,12.4401,25.8026,6.2498
0x280e,6.3625,4.8956,239.9184,31.3482,189.5368,94.8208,7.4158,19.4547,44.1824,15.8887,52.7882,5.2060,3.2910,0.8639,5.0958,28.1231,44.3416,55.6821,24.8204,45.7315,17.0855,29.9300,30.7405,71.6127,13.4668,3.6393,5.9857,18.3593,32.9735,33.2871,20.0956,165.0727,106.8184,30.9904,33.8629,37.5499,32.0783,33.8398,55.4539,60.1600,6.1498,43.4947,168.0345,92.7996,176.9822,42.4546,153.8513,36.0068,176.2822,52.0158,11.4001,24.5409,87.9016,51.6557,228.2052,97.3055,32.1797,123.7104,8.8268,28.7413,45.7226,30.4079,32.1823,1.4821,18.5038,68.1716,13.4462,14.8119,20.8914,3.3371,24.3092,62.0660,6.9655,25.7815,63.9243,4.3886,103.9701,28.7190,26.4705,46.3923,39.1307,1.8803,3.4764,16.1454,37.4650,14.0168,71.5067,62.2058,25.9428,25.3188,23.6466,18.1235,88.1091,21.2637
0x280f,6.1423,2.5256,80.7129,43.3852,101.0551,34.7062,6.2419,16.1713,24.1915,14.6783,17.4517,6.1040,34.7737,5.3427,10.1843,19.1356,27.4226,26.4716,10.0584,50.3974,8.6507,38.8542,11.9806,23.5683,16.0607,2.0651,2.6389,12.5269,16.1420,12.1392,5.3221,77.2884,61.2420,18.4800,38.4074,30.8889,44.5609,20.0406,37.9304,72.7623,5.7251,8.7590,141.6793,13.3523,168.2558,31.9300,33.5813,3.8774,63.7482,20.1547,11.2587,3.9082,24.2421,32.8733,82.5379,81.7177,12.5499,45.5625,19.0638,5.4071,27.0199,38.9390,18.6198,6.1276,17.2684,23.9533,26.3825,84.5771,24.7390,8.5477,20.7768,25.9945,4.8524,18.7343,19.0844,10.1610,49.2799,19.2677,10.8946,31.6425,27.5804,1.5112,17.8385,5.7318,21.4814,5.9543,40.4071,39.2620,9.4269,17.1826,57.6887,17.1698,21.5470,50.3186
0x2810,122.3803,177.1433,23746.7500,19617.5996,49500.9336,33044.7422,4.3144,1397.8378,2555.5857,2135.3098,11259.6104,1.9896,0.3297,0.1125,6797.1465,2154.5439,9146.1631,15295.2744,8337.6631,10457.1914,7522.0698,5393.2007,10309.0420,6413.7129,6464.9521,92.1273,311.4513,8181.1602,3033.8733,11135.5762,3958.7671,13206.6484,22362.8809,11086.2363,14975.4648,12417.1982,6651.6260,6975.0430,4086.3132,26009.9414,204.1904,2952.5857,32240.4023,11117.1689,42926.6289,36374.0664,7235.7158,7938.9263,6504.6123,15075.9629,15000.0469,25606.9121,11369.5752,15128.2188,60221.2812,28718.6836,19487.5762,25052.0430,2280.1279,8956.4668,3296.5522,736.7401,13.8012,1.3574,3579.8813,15830.0771,1747.1053,11427.6680,1498.5861,6638.4624,7958.3706,13095.0215,203.5414,2580.4761,15079.8389,171.7322,15058.2822,5282.9429,2435.3105,9643.8662,13996.2764,2351.7295,2253.3833,2968.2258,3126.7737,4730.5508,20225.0742,11485.8027,18922.1289,6579.2964,7718.4204,191.1707,6506.1499,77.2763
0x2811,99.1257,37.7009,782.2423,829.6557,1084.0753,704.3862,6.2552,200.8922,144.3860,21.4063,169.6004,4.6690,6.3196,1.2037,646.4935,69.6228,233.5029,251.2376,245.6056,153.7446,192.8631,312.1371,116.9662,243.4027,335.8534,100.6538,127.8668,123.4064,45.6194,106.1941,144.3290,722.9819,572.8734,307.0635,852.1385,224.3529,239.7291,310.1867,346.3182,442.2290,89.4554,577.3782,808.7037,404.8153,780.6960,1042.8662,302.0613,156.5804,394.8469,518.0723,445.4169,360.5133,202.3503,492.3687,1677.7640,771.6645,193.8969,181.7764,266.8904,58.8600,274.1557,35.0902,13.9357,5.2952,69.0103,224.3280,104.9042,197.1121,40.9923,243.7351,199.7889,140.9171,106.1399,271.8675,402.9044,113.1997,470.8515,73.3583,42.4952,155.6737,78.4448,100.6629,201.5940,90.9420,96.7103,63.5308,372.5229,146.4567,376.0751,83.1054,372.6012,211.5900,409.7262,66.7709
0x2812,321.2825,6.8367,3340.2480,879.9805,3186.1550,509.2380,3.3064,526.5741,463.2197,70.8552,187.9572,1.5565,0.5744,2.8267,747.2889,91.0635,696.6542,448.0113,547.1065,572.3532,153.8041,128.8407,228.2374,88.3614,140.5338,132.7679,173.7663,109.4198,89.9049,53.2163,362.6057,1760.6820,553.2110,331.6877,806.7488,552.8965,565.2621,167.7729,380.2213,241.6680,259.3759,1006.1605,727.1775,1024.0891,1413.1926,421.6787,430.4771,230.2166,615.9297,169.6148,509.4298,801.1084,273.8187,492.2007,2090.2839,1297.2280,471.0740,890.2222,1268.4540,542.2609,917.2650,32.8950,0.9399,1.9403,135.4175,251.2767,360.1463,704.0488,125.1952,303.7334,325.2653,164.7851,293.9513,648.9733,450.8326,226.1862,408.3995,76.8565,42.3925,294.5798,286.6840,228.8562,304.2065,231.5673,49.1080,162.6515,530.4513,255.7555,1019.0855,368.6712,1853.9329,415.0633,1347.7427,1.3629
0x2813,60.7415,8.5548,690.3909,184.7324,306.5069,140.5666,22.0901,67.8062,93.7643,23.5214,27.3496,12.9832,20.6253,14.1713,79.8293,48.0749,119.5437,136.7146,106.6954,49.9414,108.6101,172.2616,36.3004,109.4102,101.6350,18.0077,13.3655,88.2869,13.1939,7.8426,41.5727,1009.5402,44.1952,70.7788,435.2117,189.9073,219.0883,44.5136,268.3215,205.1221,32.2334,136.8204,148.5473,7.9620,438.5641,179.6296,219.2839,61.9316,423.7785,77.2001,154.2714,124.9299,182.7438,182.4074,1228.9974,342.2960,306.3994,326.0980,103.9737,89.0882,319.6132,26.6310,6.8432,25.4470,53.5213,50.2711,82.9673,55.9520,59.6556,108.2458,166.0554,26.2173,8.6118,280.6373,55.2062,21.8282,82.9452,9.6088,30.9837,71.3770,152.0634,32.6341,55.4554,73.1350,85.2275,68.4750,249.6056,35.9305,206.2110,31.0220,214.0540,43.0977,234.1730,39.3932
