0x0000,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002a,0x002b,0x002c,0x002d,0x002e,0x002f,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003a,0x003b,0x003c,0x003d,0x003e,0x003f,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004a,0x004b,0x004c,0x004d,0x004e,0x004f,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005a,0x005b,0x005c,0x005d,0x005e,0x005f,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006a,0x006b,0x006c,0x006d,0x006e,0x006f,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007a,0x007b,0x007c,0x007d,0x007e
0x002b,5.5976,46.7081,1.4927,4.1138,0.8130,2.7133,1157.0052,4.4857,9.4437,3.9477,0.0000,5.3366,4.7663,12.8290,23.8176,5.0352,16.6580,12.2598,8.8460,3.9290,8.4836,5.0114,15.7185,5.4978,4.5316,11.5592,7.5543,20.3248,31.0772,28.4748,10.2840,175.8013,6.7242,10.0059,8.4972,10.4840,10.3013,10.0605,5.5527,14.7365,21.5608,10.6867,7.3214,7.6573,5.1477,8.5328,6.3780,18.1913,8.6958,6.7479,6.5667,9.1484,14.3894,31.5254,14.0685,10.6957,8.2884,17.2380,15.6192,31.4575,25.1068,4.3672,4.0303,3.4052,9.5311,15.4073,10.6765,12.7185,10.4403,1.2122,7.0881,26.7977,9.4834,11.1242,3.3949,20.1436,6.9267,14.5737,6.9843,12.8818,10.5757,17.3096,5.1527,17.2657,23.9305,15.6021,10.2452,15.2716,11.9120,29.4204,22.8326,8.0919,38.8962,8.0021
0x002c,2.8609,2.5534,15.1073,3.7284,2.2539,6.6930,0.0553,5.7840,0.5145,2.1422,5.3366,0.0000,6.7157,0.2778,5308.8882,2.3529,2.0207,5.2180,4.1828,2.5584,3.8658,3.3497,1.2600,2.4639,3.3629,102.1930,280.4611,691.2028,115.9761,759.8883,624.7096,3403.7153,2.0062,2.6045,4.5958,2.4820,2.2281,5.1241,1.7801,4.5002,3.1764,1.1540,3.6652,3.5090,3.2231,2.1052,4.0423,4.7652,2.1735,3.1653,3.8310,4.8734,2.4534,1.7748,1.9776,2.2524,0.7812,2.5947,1056.5848,3853.7427,482.6938,82.1328,184.7203,0.4959,3.6046,4.7109,1.3180,1.1067,2.0082,4.0257,4.4092,1.0151,5.2255,1.0763,11.9386,2.0342,1.0132,1.9773,3.0968,3.5954,2.8558,8.0794,4.6538,3.4755,3.2995,1.8715,3.0320,2.8892,0.8495,3.2339,1500.7759,57.4819,1761.7024,58.9452
0x002d,16.8396,2.1131,20.9936,13.7929,5.8941,12.7543,16.7844,3.7027,5.3646,3.5868,4.7663,6.7157,0.0000,0.4290,23524.3066,5.3461,4.8643,5.9417,4.5136,1.7635,16.8333,5.4786,0.6893,2.5298,4.9170,58.8613,304.0067,2793.4941,836.5104,1923.0973,2838.3860,6246.0015,2.5008,4.0244,4.9081,2.9649,5.1121,6.4018,1.3207,5.4731,1.1197,2.9567,3.3567,3.2772,1.7227,1.9862,2.1262,9.3819,3.6225,2.0877,2.4258,1.1704,4.1093,2.1518,1.6596,12.2814,1.9076,0.5361,720.6420,17099.4844,3585.2852,246.4099,19.6943,1.4998,2.4499,8.9729,6.3547,11.2975,5.1581,8.0611,3.6669,19.1426,7.7011,16.0438,2.7590,1.3368,9.3717,7.6352,6.3225,10.9571,5.8843,2.9192,7.5191,2.3195,3.7980,5.2524,21.2301,3.6498,1.6389,1.2224,4404.6958,731.7742,6713.1992,15.7433
0x002e,4.1290,1.1635,3.7527,2.4836,3.3099,7.2129,1.4740,1.4100,2.0465,7.1639,12.8290,0.2778,0.4290,0.0000,19671.3301,5.3817,7.2933,7.8235,6.0353,1.7471,7.8671,3.0784,1.2655,3.3657,5.3010,76.0949,383.0239,5876.8584,1868.6616,7394.4985,5907.5664,11556.2607,2.7509,3.7534,5.2172,2.5888,2.8287,2.8079,0.9199,4.2238,5.6904,1.5328,3.1449,4.1232,3.6346,3.3285,3.7403,3.3722,3.0213,3.6571,2.2793,3.1075,1.8923,1.2885,2.9466,2.4236,1.7667,2.9598,3543.2261,26772.4883,3275.0059,682.1406,49.8993,0.5949,2.2894,10.7264,1.8383,4.7058,1.9980,13.2051,1.3006,3.9508,6.1894,1.3887,3.8305,1.0353,4.9897,7.3455,6.7959,3.9246,5.0474,1.2228,13.5270,4.6506,3.7209,3.4991,4.7061,3.5722,1.8455,7.8477,9904.4824,553.2571,8874.6592,68.4979
0x002f,1.8284,398.0824,0.6443,4.9876,10.0092,5.7871,6857.9346,1.1400,1.3963,37.7651,23.8176,5308.8882,23524.3066,19671.3301,0.0000,4.1150,4.7019,2.6795,5.2487,15.7855,9.4656,2.9839,14.1597,2.5752,4.4423,1.2280,0.9909,16.6074,20.1065,41.6239,15.4442,63.9960,5.6072,3.4742,3.1709,2.2391,6.5179,5.4856,4.8279,1.8311,1.2804,3.4402,4.5260,10.5117,1.5005,2.5403,2.7744,4.0297,3.1735,4.0265,2.4133,13.3593,3.0215,6.2904,12.4920,4.3547,4.4554,3.3613,0.8150,2.2795,3.0496,23.6002,18.6491,3.9100,9.7731,5.1770,10.4698,2.0067,7.1534,2.0092,1.8109,6.1093,2.1168,2.1585,10.4102,3.7752,9.2364,6.9100,14.0240,2.8672,3.6492,5.2839,24.9361,12.5198,10.1817,11.7677,36.5636,14.7148,7.2783,5.5771,13.1444,0.1558,12.8915,25.4531
0x0030,3.4256,1.7109,15.0687,4.6548,2.7021,1.3389,2.7876,3.8738,4.8911,1.1683,5.0352,2.3529,5.3461,5.3817,4.1150,0.0000,8.5538,3.2836,0.6144,5.0347,1.2597,0.2196,4.4750,0.0741,0.0744,3.0895,3.7277,3.5815,3.9404,2.6780,2.1239,1.4427,2.6988,0.1528,0.2995,1.2461,1.2571,4.9443,1.7238,1.2246,9.1707,0.7088,3.7883,2.9435,2.2235,0.9896,0.1107,0.3499,0.2867,1.0263,0.5750,15.4279,0.7797,3.2408,2.3944,10.4793,3.8714,5.0448,5.4680,2.3314,5.8474,4.8712,6.9856,2.8161,0.0896,2.0151,0.8019,3.2034,2.1761,10.0424,0.7909,4.8057,16.1781,2.2755,3.3136,6.2093,9.3563,0.7993,0.0903,3.1908,4.0962,2.5345,0.8511,3.5937,0.2769,2.7417,3.9465,13.1442,2.0164,2.8060,7.6866,5.6151,7.3896,3.6938
0x0031,1.1731,2.2384,19.5708,18.1440,14.6157,7.1413,3.9829,2.6765,0.9238,5.7415,16.6580,2.0207,4.8643,7.2933,4.7019,8.5538,0.0000,0.5207,3.8564,7.1190,8.8234,11.3375,8.7088,6.7836,8.0185,2.7597,0.9444,9.8318,6.0298,6.7629,6.0083,11.0500,16.0432,13.2904,3.9804,10.5860,4.0676,18.1534,7.3450,12.9755,0.6033,0.9484,18.1747,2.2455,22.6889,8.8350,12.3044,21.0220,18.8169,4.0036,5.6280,30.4821,13.3029,44.4936,10.1956,11.5598,58.1523,1.4655,3.8766,1.1792,2.2410,14.6219,3.4076,2.3727,6.6066,17.1667,1.7421,5.8438,2.1858,15.4934,7.0698,26.2312,0.1516,1.5409,11.1881,0.0921,4.1817,10.0777,5.4214,13.3477,3.7645,16.8472,3.5832,13.4294,5.7036,14.0761,12.5583,7.0108,8.8790,1.2859,15.0460,2.4938,1.0604,6.8243
0x0032,3.2553,3.2092,2.9062,4.7224,5.2195,2.8303,3.7705,2.9464,3.1781,1.3029,12.2598,5.2180,5.9417,7.8235,2.6795,3.2836,0.5207,0.0000,2.0261,10.1880,3.3661,4.1367,0.3147,2.6062,1.1802,1.4734,2.9519,1.7248,0.6686,5.2014,1.8171,2.9489,4.2453,1.9854,1.8189,1.9107,2.5575,2.3677,3.8094,1.6858,0.6469,1.0250,4.7864,7.4940,3.1405,3.1736,2.8404,3.1076,3.5231,1.2205,1.7080,5.6054,2.6417,2.6607,3.1411,2.1748,3.7563,0.1541,2.5919,2.5713,3.5525,5.0643,2.4450,2.3484,1.0905,3.8268,0.8531,3.2342,0.9978,12.4531,2.0165,3.9517,0.7590,2.7476,2.2116,1.3701,4.8191,1.4052,2.3743,1.8247,2.5487,3.1634,0.8495,2.1858,1.6735,2.2278,2.2691,1.0369,1.9653,0.0817,8.3021,3.0444,4.7255,0.7534
0x0033,3.0318,1.0781,8.4006,5.8289,2.7792,5.8413,11.0115,2.8365,3.2792,1.7158,8.8460,4.1828,4.5136,6.0353,5.2487,0.6144,3.8564,2.0261,0.0000,9.4386,0.5010,1.2882,0.8632,0.4572,0.6014,2.5687,2.4899,7.8606,2.6278,3.8803,2.6309,11.9514,3.3508,0.5506,3.3836,0.5381,1.4420,5.6948,1.5135,1.1548,1.7654,0.9622,4.6217,4.4918,2.4223,1.1658,1.6216,4.0815,2.3694,1.2459,0.6185,3.5320,3.9907,4.1773,3.0159,8.7631,4.3698,1.5782,9.1291,3.6636,2.5342,5.7707,9.4392,4.3021,0.4702,2.4871,1.3681,5.9631,1.2422,8.3146,1.0857,2.6810,4.4472,5.6991,1.9439,1.5194,7.3467,1.1603,1.1461,3.9746,5.6663,2.9498,1.1343,9.4980,1.5273,3.2516,4.3086,2.7043,1.0299,1.1039,14.3575,3.7763,5.1650,9.8395
0x0034,1.4631,2.9879,9.8592,3.5450,8.2824,7.6957,2.5091,4.5512,2.0493,4.2990,3.9290,2.5584,1.7635,1.7471,15.7855,5.0347,7.1190,10.1880,9.4386,0.0000,14.0383,9.3261,22.4198,8.4912,30.5887,9.3204,3.3980,2.4537,9.0877,5.7875,13.9215,13.3165,2.3041,21.1133,11.0582,25.2232,12.7580,17.4872,6.0868,44.4714,27.5172,14.0900,20.6825,13.4323,12.8954,26.8107,9.6349,24.1487,34.3185,27.1247,24.0860,32.2993,31.6545,17.9496,37.7293,23.5147,30.6728,51.9285,17.6090,4.2660,9.0694,0.8301,2.0382,3.3695,8.0020,12.7759,2.3806,3.6849,2.9806,5.6150,15.8072,13.3395,4.2463,10.6169,23.4454,13.7564,6.2503,8.7997,9.7074,33.6002,2.6385,9.5614,5.5035,15.8907,10.9712,13.9628,15.2770,14.6156,39.5142,7.6103,11.9861,3.4933,14.8275,2.8992
